UC_ID,HybridType,Cross,PedigreeID,MotherID,FatherID,MotherAlias,FatherAlias,PedigreeAlias,Year,Yield,Count,Size
01C206P005,Parent,,,,,,,,2018,765.3866667,28.16666667,27.20095974
05C107P002,Parent,,,,,,,,2018,281.9491667,12.91666667,21.71226263
07C092P003,Parent,,,,,,,,2018,687.8908333,19.16666667,35.21835931
07C148P001,Parent,,,,,,,,2018,775.9366667,26.08333333,29.91044862
08C020P602,Parent,,,,,,,,2018,592.3845833,20.41666667,28.94428523
08C123P001,Parent,,,,,,,,2018,976.3425,30,32.79059354
08C128P002,Parent,,,,,,,,2018,866.2708333,28.16666667,30.93319799
08C131P003,Parent,,,,,,,,2018,850.95,25.08333333,34.04906579
08C132P608,Parent,,,,,,,,2018,753.9766667,28,27.08219494
08C181P001,Parent,,,,,,,,2018,997.8580557,32.47222222,30.8282946
09C061P602,Parent,,,,,,,,2018,1033.243333,37.08333333,27.92379281
09C103P002,Parent,,,,,,,,2018,756.3666667,25.16666667,30.07306615
09C132P003,Parent,,,,,,,,2018,600.4808333,22.75,26.42036412
10C037P604,Parent,,,,,,,,2018,984.8275,37.08333333,26.59783863
10C122P003,Parent,,,,,,,,2018,877.8183333,24.75,35.68975065
11C032P002,Parent,,,,,,,,2018,936.4483333,29.08333333,32.35719396
11C049P006,Parent,,,,,,,,2018,670.6375,19.08333333,35.33425892
11C055P004,Parent,,,,,,,,2018,705.7041667,21.75,32.27291351
11C067P001,Parent,,,,,,,,2018,897.4258333,27.25,33.00721556
11C103P001,Parent,,,,,,,,2018,921.6575,26.25,35.10844923
11C113P006,Parent,,,,,,,,2018,801.9758333,26.91666667,29.95440887
11C115P003,Parent,,,,,,,,2018,993.7108333,30.5,32.99184677
11C141P001,Parent,,,,,,,,2018,820.0141667,24.25,33.70428255
11C151P008,Parent,,,,,,,,2018,1195.471667,40.5,29.58829013
11C153P003,Parent,,,,,,,,2018,859.1791667,25.41666667,33.90091851
11C180P001,Parent,,,,,,,,2018,552.0275,19.91666667,27.75394055
16C001P001,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,874.47,29.75,29.67071495
16C001P014,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,941.5008333,27,35.16081382
16C001P015,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,821.705,25.75,32.08160567
16C001P016,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,1090.283333,34.83333333,31.25455238
16C001P027,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,914.8208333,25.66666667,35.74791455
16C001P037,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,914.3583333,25,37.42165878
16C001P038,Progeny,16C001,08C181P001_11C115P003,08C181P001,11C115P003,Cabrillo,11C115P003,Cabrillo_11C115P003,2018,753.5041667,29.25,25.89466707
16C005P007,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,682.64,20.58333333,33.14456428
16C005P009,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,771.3441667,25.08333333,30.78904405
16C005P012,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,702.7675,19.75,35.54031733
16C005P020,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,548.8658333,17.58333333,31.24539467
16C005P027,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,753.0916667,23.33333333,32.37638317
16C005P028,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,595.2925,21.75,27.17677581
16C005P029,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,776.535,22.66666667,34.21760763
16C005P035,Progeny,16C005,08C181P001_11C180P001,08C181P001,11C180P001,Cabrillo,11C180P001,Cabrillo_11C180P001,2018,750.4175,22,34.11814927
16C010P002,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,106.42,8.666666667,13.91813294
16C010P003,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,208.375,16.5,12.80278396
16C010P008,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,286.9358333,30.16666667,9.653747595
16C010P009,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,123.6283333,9.416666667,15.01813312
16C010P022,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,201.8933333,19.33333333,10.3016867
16C010P024,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,56.78,5.333333333,11.01946394
16C010P028,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,169.5308333,10.91666667,15.68277778
16C010P038,Progeny,16C010,08C181P001_PI551753,08C181P001,PI551753,Cabrillo,Del_Norte,Cabrillo_Del_Norte,2018,129.5225,7.166666667,16.64101389
16C014P006,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,267.8841667,10.83333333,25.33337203
16C014P009,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,537.8875,21.33333333,25.22579603
16C014P015,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,561.42,22.66666667,24.85676285
16C014P020,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,782.4858333,22,35.57570282
16C014P021,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,422.175,21.25,19.87180369
16C014P022,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,879.6808333,25.33333333,34.80285174
16C014P026,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,772.0341667,24.16666667,31.85030776
16C014P027,Progeny,16C014,08C123P001_11C115P003,08C123P001,11C115P003,DN009,11C115P003,DN009_11C115P003,2018,669.8575,21,32.1249034
16C015P003,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,695.1458333,22.5,31.63775379
16C015P015,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,717.4791667,21.33333333,33.62527451
16C015P020,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,579.73,20.08333333,28.71013895
16C015P026,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,699.565,23.25,30.64476836
16C015P034,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,727.87,25.58333333,28.76655728
16C015P036,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,899.3213889,22.33333333,40.35881649
16C015P038,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,510.9980556,17.08333333,30.01231517
16C015P039,Progeny,16C015,08C123P001_11C103P001,08C123P001,11C103P001,DN009,11C103P001,DN009_11C103P001,2018,682.155,21.91666667,31.04201625
16C016P002,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,561.055,26.33333333,21.38245459
16C016P011,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,333.8686111,14.66666667,22.93697486
16C016P017,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,368.8180556,12.02777778,32.45245131
16C016P020,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,289.7183333,9.583333333,31.23049938
16C016P021,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,854.0516667,32.41666667,26.38153419
16C016P024,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,740.4125,23.5,31.42337731
16C016P031,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,833.3075,29.25,28.49810745
16C016P039,Progeny,16C016,08C123P001_11C141P001,08C123P001,11C141P001,DN009,11C141P001,DN009_11C141P001,2018,425.965,17.66666667,24.09487561
16C017P008,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,701.8666667,24,29.2525964
16C017P013,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,719.4175,27.08333333,26.59605228
16C017P017,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,609.7866667,17.33333333,35.01057262
16C017P024,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,407.175,15.08333333,27.00336941
16C017P026,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,505.5475,16.25,31.18418446
16C017P027,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,611.06,15.5,39.57852749
16C017P033,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,269.1125,10.41666667,27.48559127
16C017P035,Progeny,16C017,08C123P001_09C103P002,08C123P001,09C103P002,DN009,09C103P002,DN009_09C103P002,2018,329.8741667,12.25,27.06910402
16C018P011,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,632.4783333,19.58333333,32.61476141
16C018P013,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,668.4258333,23.91666667,27.94415484
16C018P014,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,334.5397222,15.30555556,22.1124741
16C018P033,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,729.8541667,26.08333333,27.94390985
16C018P035,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,571.7658333,17.41666667,32.64448678
16C018P036,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,494.1216667,18.5,27.03179477
16C018P037,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,661.5375,20,32.81495149
16C018P040,Progeny,16C018,08C123P001_11C180P001,08C123P001,11C180P001,DN009,11C180P001,DN009_11C180P001,2018,480.4841667,21.5,22.55997237
16C019P001,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,439.1816667,15,29.80800389
16C019P004,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,505.8541667,15.25,33.64980729
16C019P014,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,728.6875,21,34.71765521
16C019P023,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,832.43,21.25,39.20562897
16C019P025,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,323.2225,11.66666667,27.73647135
16C019P029,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,782.905,19.75,39.98319799
16C019P033,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,342.9816667,14.58333333,23.65350091
16C019P035,Progeny,16C019,08C123P001_07C092P003,08C123P001,07C092P003,DN009,07C092P003,DN009_07C092P003,2018,430.67,15.16666667,29.19048434
16C020P001,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,405.5333333,13.41666667,29.95631855
16C020P002,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,440.9083333,16.66666667,26.57013572
16C020P009,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,282.2316667,11.33333333,24.91960855
16C020P011,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,346.0675,16.16666667,21.78488017
16C020P016,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,634.0325,21.66666667,29.16105958
16C020P030,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,560.8333333,17.91666667,31.11963772
16C020P034,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,681.3825,25.58333333,26.61006128
16C020P038,Progeny,16C020,08C123P001_09C132P003,08C123P001,09C132P003,DN009,09C132P003,DN009_09C132P003,2018,563.9475,15,37.55690724
16C021P001,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,393.3175,13.58333333,28.6041434
16C021P014,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,988.8125,33.58333333,29.79162296
16C021P021,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,900.4108333,28,32.29371425
16C021P029,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,751.3433333,31.16666667,24.29670138
16C021P032,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,709.505,39.75,17.91721478
16C021P039,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,761.55,31.66666667,24.0603381
16C021P040,Progeny,16C021,08C123P001_01C206P005,08C123P001,01C206P005,DN009,Portola,DN009_Portola,2018,578.8866667,20.33333333,28.6896835
16C023P001,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,234.1391667,23.58333333,10.84527141
16C023P007,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,423.5275,39.83333333,10.85043376
16C023P012,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,48.53333333,2.333333333,23.36111264
16C023P013,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,62.92416667,4.916666667,11.51926316
16C023P019,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,99.58583333,11.75,9.409812222
16C023P027,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,83.63833333,9.583333333,9.085001665
16C023P028,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,291.3016667,25.66666667,11.39741669
16C023P031,Progeny,16C023,08C123P001_PI551753,08C123P001,PI551753,DN009,Del_Norte,DN009_Del_Norte,2018,327.57,29.83333333,10.93452382
16C029P006,Progeny,16C029,08C128P002_07C092P003,08C128P002,07C092P003,08C128P002,07C092P003,08C128P002_07C092P003,2018,745.765,30.16666667,24.69046877
16C029P010,Progeny,16C029,08C128P002_07C092P003,08C128P002,07C092P003,08C128P002,07C092P003,08C128P002_07C092P003,2018,991.7733333,29.33333333,33.87425745
16C029P014,Progeny,16C029,08C128P002_07C092P003,08C128P002,07C092P003,08C128P002,07C092P003,08C128P002_07C092P003,2018,655.7616667,14.08333333,46.28464841
16C029P018,Progeny,16C029,08C128P002_07C092P003,08C128P002,07C092P003,08C128P002,07C092P003,08C128P002_07C092P003,2018,305.7447222,14.41666667,21.18529259
16C030P007,Progeny,16C030,08C128P002_09C132P003,08C128P002,09C132P003,08C128P002,09C132P003,08C128P002_09C132P003,2018,825.0991667,20.91666667,39.47428503
16C030P010,Progeny,16C030,08C128P002_09C132P003,08C128P002,09C132P003,08C128P002,09C132P003,08C128P002_09C132P003,2018,1122.408333,36,31.39210702
16C030P013,Progeny,16C030,08C128P002_09C132P003,08C128P002,09C132P003,08C128P002,09C132P003,08C128P002_09C132P003,2018,517.22,21.16666667,24.36356921
16C033P008,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,246.7225,19.16666667,13.25614922
16C033P013,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,452.0458333,63.66666667,7.195043235
16C033P016,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,331.6,23.58333333,14.16688889
16C033P021,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,497.9491667,48.16666667,10.35361922
16C033P028,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,931.9525,34.08333333,27.25424012
16C033P031,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,446.1,30,14.96006259
16C033P032,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,309.81,26.08333333,11.89957811
16C033P038,Progeny,16C033,08C128P002_PI551753,08C128P002,PI551753,08C128P002,Del_Norte,08C128P002_Del_Norte,2018,375.8691667,54.83333333,6.814293138
16C035P001,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,913.3041667,36.33333333,25.14035966
16C035P007,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,829.2175,34.16666667,24.97049947
16C035P013,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,552.6616667,18.33333333,30.15585709
16C035P022,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,399.7408333,12.08333333,33.25873249
16C035P031,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,1125.1325,37.16666667,30.25501957
16C035P032,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,782.6075,29.25,26.71324807
16C035P035,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,993.2516667,39.58333333,25.36376512
16C035P040,Progeny,16C035,11C153P003_11C115P003,11C153P003,11C115P003,11C153P003,11C115P003,11C153P003_11C115P003,2018,806.6766667,25.83333333,31.19307903
16C036P003,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,773.4558333,26.75,28.77493176
16C036P011,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,884.5075,20.75,42.59766804
16C036P012,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,563.3258333,18.5,30.50440273
16C036P016,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,682.7708333,26.25,25.91576649
16C036P017,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,276.86,10.83333333,25.642111
16C036P018,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,942.0658333,33.58333333,28.22009479
16C036P022,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,569.5458333,21.08333333,27.1621715
16C036P029,Progeny,16C036,11C153P003_11C103P001,11C153P003,11C103P001,11C153P003,11C103P001,11C153P003_11C103P001,2018,806.1975,22.33333333,36.21356665
16C037P019,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,650.7833333,22.83333333,28.58908114
16C037P020,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,757.6947222,22.44444444,33.59328947
16C037P022,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,586.1133333,26.75,22.04635646
16C037P031,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,667.4908333,18,37.37322941
16C037P033,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,374.395,11.91666667,31.03029988
16C037P035,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,653.3422222,22.66666667,28.96128968
16C037P037,Progeny,16C037,11C153P003_11C141P001,11C153P003,11C141P001,11C153P003,11C141P001,11C153P003_11C141P001,2018,352.4591667,16.66666667,21.35571393
16C038P012,Progeny,16C038,11C153P003_09C103P002,11C153P003,09C103P002,11C153P003,09C103P002,11C153P003_09C103P002,2018,557.4758333,18.41666667,30.4391106
16C038P015,Progeny,16C038,11C153P003_09C103P002,11C153P003,09C103P002,11C153P003,09C103P002,11C153P003_09C103P002,2018,921.7883333,31.25,29.80092106
16C038P017,Progeny,16C038,11C153P003_09C103P002,11C153P003,09C103P002,11C153P003,09C103P002,11C153P003_09C103P002,2018,411.2633333,21,20.01681133
16C038P019,Progeny,16C038,11C153P003_09C103P002,11C153P003,09C103P002,11C153P003,09C103P002,11C153P003_09C103P002,2018,775.5708333,29.66666667,26.16970419
16C039P002,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,896.18,24.66666667,36.55351898
16C039P016,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,828.4633333,27.16666667,30.58623424
16C039P023,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,651.5416667,21.58333333,30.17771789
16C039P024,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,556.2358333,19.83333333,28.36017323
16C039P027,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,539.8466667,16.5,33.20412279
16C039P033,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,740.4675,23.33333333,31.64355952
16C039P040,Progeny,16C039,11C153P003_11C180P001,11C153P003,11C180P001,11C153P003,11C180P001,11C153P003_11C180P001,2018,591.4041667,24.5,24.33745722
16C040P006,Progeny,16C040,11C153P003_07C092P003,11C153P003,07C092P003,11C153P003,07C092P003,11C153P003_07C092P003,2018,810.5608333,27.25,29.8284428
16C040P009,Progeny,16C040,11C153P003_07C092P003,11C153P003,07C092P003,11C153P003,07C092P003,11C153P003_07C092P003,2018,591.2575,15.75,37.83311986
16C040P016,Progeny,16C040,11C153P003_07C092P003,11C153P003,07C092P003,11C153P003,07C092P003,11C153P003_07C092P003,2018,840.325,29,29.23157331
16C040P018,Progeny,16C040,11C153P003_07C092P003,11C153P003,07C092P003,11C153P003,07C092P003,11C153P003_07C092P003,2018,714.2008333,23.33333333,30.57154862
16C041P005,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,801.675,29.83333333,26.92726654
16C041P006,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,666.0866667,22.33333333,29.85845303
16C041P012,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,598.35,19.66666667,30.46435376
16C041P015,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,352.3325,14,25.27924423
16C041P030,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,364.0233333,18.16666667,20.02607057
16C041P033,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,537.3916667,20.66666667,26.06578766
16C041P040,Progeny,16C041,11C153P003_09C132P003,11C153P003,09C132P003,11C153P003,09C132P003,11C153P003_09C132P003,2018,467.1733333,16.75,28.18284438
16C042P009,Progeny,16C042,11C153P003_01C206P005,11C153P003,01C206P005,11C153P003,Portola,11C153P003_Portola,2018,647.9016667,27.75,23.69879398
16C042P014,Progeny,16C042,11C153P003_01C206P005,11C153P003,01C206P005,11C153P003,Portola,11C153P003_Portola,2018,648.2025,26.83333333,24.65046297
16C042P016,Progeny,16C042,11C153P003_01C206P005,11C153P003,01C206P005,11C153P003,Portola,11C153P003_Portola,2018,824.8669444,36,22.90405302
16C042P019,Progeny,16C042,11C153P003_01C206P005,11C153P003,01C206P005,11C153P003,Portola,11C153P003_Portola,2018,867.6808333,38.91666667,22.3291897
16C044P005,Progeny,16C044,11C153P003_PI551753,11C153P003,PI551753,11C153P003,Del_Norte,11C153P003_Del_Norte,2018,232.9083333,17.83333333,13.10212209
16C044P010,Progeny,16C044,11C153P003_PI551753,11C153P003,PI551753,11C153P003,Del_Norte,11C153P003_Del_Norte,2018,136.27,9.833333333,16.73831868
